Zeit; Event; Ursache; Info
2018-11-09 08:13:20;In Standbymodus versetzt;Application API;
2018-11-09 09:53:58;Aus Standbymodus aufgeweckt;;
2018-11-09 09:58:40;In Standbymodus versetzt;Application API;
2018-11-09 09:59:32;Aus Standbymodus aufgeweckt;;
2018-11-09 10:08:09;In Standbymodus versetzt;Application API;
2018-11-09 10:39:38;Aus Standbymodus aufgeweckt;;
2018-11-09 10:46:39;In Standbymodus versetzt;Application API;
2018-11-09 11:50:39;Aus Standbymodus aufgeweckt;;
2018-11-09 12:00:11;In Standbymodus versetzt;Application API;
2018-11-09 13:55:47;Aus Standbymodus aufgeweckt;;
2018-11-09 14:20:41;In Standbymodus versetzt;System idle;
2018-11-09 14:24:05;Aus Standbymodus aufgeweckt;;
2018-11-09 14:47:01;In Standbymodus versetzt;System idle;
2018-11-09 14:48:29;Aus Standbymodus aufgeweckt;;
2018-11-09 15:42:04;In Standbymodus versetzt;Application API;
2018-11-09 15:53:31;Aus Standbymodus aufgeweckt;;
2018-11-09 15:55:39;In Standbymodus versetzt;Application API;
2018-11-09 15:57:39;Aus Standbymodus aufgeweckt;;
2018-11-09 15:58:58;In Standbymodus versetzt;Application API;
2018-11-09 16:39:08;Aus Standbymodus aufgeweckt;;
2018-11-09 16:42:06;In Standbymodus versetzt;Application API;
2018-11-09 18:48:07;Aus Standbymodus aufgeweckt;;
2018-11-09 19:08:39;In Standbymodus versetzt;Application API;
2018-11-09 21:30:48;Aus Standbymodus aufgeweckt;;
2018-11-09 21:31:05;In Standbymodus versetzt;Application API;
2018-11-10 06:29:07;Aus Standbymodus aufgeweckt;;
2018-11-10 07:10:15;In Standbymodus versetzt;Application API;
2018-11-10 09:25:20;Aus Standbymodus aufgeweckt;;
2018-11-10 10:00:34;In Standbymodus versetzt;Application API;
2018-11-10 11:06:55;Aus Standbymodus aufgeweckt;;
2018-11-10 11:08:00;In Standbymodus versetzt;Application API;
2018-11-10 12:48:07;Aus Standbymodus aufgeweckt;;
2018-11-10 12:53:27;In Standbymodus versetzt;Application API;
2018-11-10 14:46:30;Aus Standbymodus aufgeweckt;;
2018-11-10 15:05:07;In Standbymodus versetzt;System idle;
2018-11-10 15:36:58;Aus Standbymodus aufgeweckt;;
2018-11-10 16:04:31;In Standbymodus versetzt;Application API;
2018-11-10 16:10:30;Aus Standbymodus aufgeweckt;;
2018-11-10 16:19:15;In Standbymodus versetzt;Application API;
2018-11-10 17:10:13;Aus Standbymodus aufgeweckt;;
2018-11-10 17:22:28;In Standbymodus versetzt;Application API;
2018-11-10 18:09:32;Aus Standbymodus aufgeweckt;;
2018-11-10 18:09:41;In Standbymodus versetzt;Application API;
2018-11-10 18:56:08;Aus Standbymodus aufgeweckt;;
2018-11-10 18:58:02;In Standbymodus versetzt;Application API;
2018-11-10 21:29:24;Aus Standbymodus aufgeweckt;;
2018-11-10 21:29:44;In Standbymodus versetzt;Application API;
2018-11-11 06:47:47;Aus Standbymodus aufgeweckt;;
2018-11-11 07:06:35;In Standbymodus versetzt;Application API;
2018-11-11 08:37:39;Aus Standbymodus aufgeweckt;;
2018-11-11 08:41:52;In Standbymodus versetzt;Application API;
2018-11-11 09:09:26;Aus Standbymodus aufgeweckt;;
2018-11-11 09:22:42;In Standbymodus versetzt;Application API;
2018-11-11 09:26:01;Aus Standbymodus aufgeweckt;;
2018-11-11 09:31:02;In Standbymodus versetzt;System idle;
2018-11-11 09:45:55;Aus Standbymodus aufgeweckt;;
2018-11-11 09:59:34;In Standbymodus versetzt;Application API;
2018-11-11 11:36:23;Aus Standbymodus aufgeweckt;;
2018-11-11 11:46:02;In Standbymodus versetzt;Application API;
2018-11-11 11:48:31;Aus Standbymodus aufgeweckt;;
2018-11-11 11:50:18;In Standbymodus versetzt;Application API;
2018-11-11 16:39:48;Aus Standbymodus aufgeweckt;;
2018-11-11 17:06:00;In Standbymodus versetzt;Application API;
2018-11-11 17:46:49;Aus Standbymodus aufgeweckt;;
2018-11-11 17:47:35;In Standbymodus versetzt;Application API;
2018-11-12 06:21:57;Aus Standbymodus aufgeweckt;;
2018-11-12 06:59:14;Heruntergefahren;;
2018-11-12 06:59:27;Start;;
2018-11-12 07:02:34;Heruntergefahren;;
2018-11-12 07:02:50;Start;;
2018-11-12 07:08:32;In Standbymodus versetzt;Application API;
2018-11-12 09:57:11;Aus Standbymodus aufgeweckt;;
2018-11-12 09:59:30;In Standbymodus versetzt;System idle;
2018-11-12 10:03:27;Aus Standbymodus aufgeweckt;;
2018-11-12 10:07:26;In Standbymodus versetzt;System idle;
2018-11-12 10:39:21;Aus Standbymodus aufgeweckt;;
2018-11-12 10:45:52;In Standbymodus versetzt;Application API;
2018-11-12 11:41:28;Aus Standbymodus aufgeweckt;;
2018-11-12 11:44:22;In Standbymodus versetzt;Application API;
2018-11-12 14:47:15;Aus Standbymodus aufgeweckt;;
2018-11-12 15:26:16;In Standbymodus versetzt;System idle;
2018-11-12 16:15:06;Aus Standbymodus aufgeweckt;;
2018-11-12 16:21:57;In Standbymodus versetzt;Application API;
2018-11-12 17:45:13;Aus Standbymodus aufgeweckt;;
2018-11-12 18:01:26;In Standbymodus versetzt;Application API;
2018-11-12 19:24:47;Aus Standbymodus aufgeweckt;;
2018-11-12 19:25:12;In Standbymodus versetzt;Application API;
2018-11-12 21:33:50;Aus Standbymodus aufgeweckt;;
2018-11-12 21:34:06;In Standbymodus versetzt;Application API;
2018-11-13 06:26:05;Aus Standbymodus aufgeweckt;;
2018-11-13 06:52:55;In Standbymodus versetzt;Application API;
2018-11-13 06:56:47;Aus Standbymodus aufgeweckt;;
2018-11-13 07:10:25;In Standbymodus versetzt;Application API;
2018-11-13 11:43:19;Aus Standbymodus aufgeweckt;;
2018-11-13 11:53:31;In Standbymodus versetzt;Application API;
2018-11-13 11:54:23;Aus Standbymodus aufgeweckt;;
2018-11-13 11:57:40;In Standbymodus versetzt;Application API;
2018-11-13 13:56:46;Aus Standbymodus aufgeweckt;;
2018-11-13 14:11:37;In Standbymodus versetzt;Application API;
2018-11-13 14:30:36;Aus Standbymodus aufgeweckt;;
2018-11-13 14:45:53;In Standbymodus versetzt;Application API;
2018-11-13 15:15:31;Aus Standbymodus aufgeweckt;;
2018-11-13 15:58:13;In Standbymodus versetzt;Application API;
2018-11-13 17:07:20;Aus Standbymodus aufgeweckt;;
2018-11-13 17:14:13;In Standbymodus versetzt;Application API;
2018-11-13 18:57:38;Aus Standbymodus aufgeweckt;;
2018-11-13 19:21:56;In Standbymodus versetzt;Application API;
2018-11-13 21:30:43;Aus Standbymodus aufgeweckt;;
2018-11-13 21:31:27;In Standbymodus versetzt;Application API;
2018-11-14 06:17:43;Aus Standbymodus aufgeweckt;;
2018-11-14 06:36:39;In Standbymodus versetzt;Application API;
2018-11-14 06:40:32;Aus Standbymodus aufgeweckt;;
2018-11-14 07:10:17;In Standbymodus versetzt;Application API;
2018-11-14 10:13:42;Aus Standbymodus aufgeweckt;;
2018-11-14 10:17:50;In Standbymodus versetzt;Application API;
2018-11-14 12:32:26;Aus Standbymodus aufgeweckt;;
2018-11-14 12:44:16;In Standbymodus versetzt;Application API;
2018-11-14 14:53:49;Aus Standbymodus aufgeweckt;;
2018-11-14 15:29:43;In Standbymodus versetzt;System idle;
2018-11-14 15:40:39;Aus Standbymodus aufgeweckt;;
2018-11-14 16:01:03;Heruntergefahren;;
2018-11-14 16:01:20;Start;;
2018-11-14 16:03:25;In Standbymodus versetzt;Application API;
2018-11-14 21:45:17;Aus Standbymodus aufgeweckt;;
2018-11-14 21:46:12;In Standbymodus versetzt;Application API;
2018-11-15 06:12:32;Aus Standbymodus aufgeweckt;;
2018-11-15 06:40:06;In Standbymodus versetzt;Application API;
2018-11-15 06:57:23;Aus Standbymodus aufgeweckt;;
2018-11-15 07:08:46;In Standbymodus versetzt;Application API;
2018-11-15 08:36:16;Aus Standbymodus aufgeweckt;;
2018-11-15 08:36:45;In Standbymodus versetzt;Application API;
2018-11-15 09:16:02;Aus Standbymodus aufgeweckt;;
2018-11-15 09:16:36;In Standbymodus versetzt;Application API;
2018-11-15 09:18:36;Aus Standbymodus aufgeweckt;;
2018-11-15 09:18:47;In Standbymodus versetzt;Application API;
2018-11-15 10:21:41;Aus Standbymodus aufgeweckt;;
2018-11-15 10:29:05;In Standbymodus versetzt;Application API;
2018-11-15 10:30:13;Aus Standbymodus aufgeweckt;;
2018-11-15 10:39:11;In Standbymodus versetzt;Application API;
2018-11-15 11:42:00;Aus Standbymodus aufgeweckt;;
2018-11-15 11:42:31;In Standbymodus versetzt;Application API;
2018-11-15 12:52:26;Aus Standbymodus aufgeweckt;;
2018-11-15 12:56:31;In Standbymodus versetzt;Application API;
2018-11-15 13:10:43;Aus Standbymodus aufgeweckt;;
2018-11-15 13:13:58;In Standbymodus versetzt;Application API;
2018-11-15 14:43:23;Aus Standbymodus aufgeweckt;;
2018-11-15 14:56:16;In Standbymodus versetzt;System idle;
2018-11-15 15:07:49;Aus Standbymodus aufgeweckt;;
2018-11-15 15:27:17;In Standbymodus versetzt;System idle;
2018-11-15 15:53:04;Aus Standbymodus aufgeweckt;;
2018-11-15 16:05:19;In Standbymodus versetzt;Application API;
2018-11-15 16:42:47;Aus Standbymodus aufgeweckt;;
2018-11-15 16:59:54;In Standbymodus versetzt;Application API;
2018-11-15 18:32:23;Aus Standbymodus aufgeweckt;;
2018-11-15 18:37:30;In Standbymodus versetzt;Application API;
2018-11-15 21:24:50;Aus Standbymodus aufgeweckt;;
2018-11-15 21:25:05;In Standbymodus versetzt;Application API;
2018-11-16 06:14:43;Aus Standbymodus aufgeweckt;;
2018-11-16 07:09:06;In Standbymodus versetzt;Application API;
2018-11-16 08:54:55;Aus Standbymodus aufgeweckt;;
2018-11-16 08:55:21;In Standbymodus versetzt;Application API;
2018-11-16 09:36:02;Aus Standbymodus aufgeweckt;;
2018-11-16 10:34:46;In Standbymodus versetzt;System idle;
2018-11-16 10:46:50;Aus Standbymodus aufgeweckt;;
2018-11-16 10:49:48;In Standbymodus versetzt;System idle;
2018-11-16 10:50:01;Aus Standbymodus aufgeweckt;;
2018-11-16 11:01:28;In Standbymodus versetzt;Application API;
2018-11-16 11:37:13;Aus Standbymodus aufgeweckt;;
2018-11-16 11:48:33;In Standbymodus versetzt;Application API;
2018-11-16 12:53:10;Aus Standbymodus aufgeweckt;;
2018-11-16 12:54:27;In Standbymodus versetzt;Application API;
2018-11-16 13:23:49;Aus Standbymodus aufgeweckt;;
2018-11-16 13:25:05;In Standbymodus versetzt;Application API;
2018-11-16 14:59:12;Aus Standbymodus aufgeweckt;;
2018-11-16 15:47:07;In Standbymodus versetzt;Application API;
2018-11-16 16:31:11;Aus Standbymodus aufgeweckt;;
2018-11-16 16:39:21;In Standbymodus versetzt;Application API;
2018-11-16 18:45:02;Aus Standbymodus aufgeweckt;;
2018-11-16 19:10:18;In Standbymodus versetzt;Application API;
2018-11-16 22:21:09;Aus Standbymodus aufgeweckt;;
2018-11-16 22:21:40;In Standbymodus versetzt;Application API;
2018-11-17 06:28:10;Aus Standbymodus aufgeweckt;;
2018-11-17 07:08:15;In Standbymodus versetzt;Application API;
2018-11-17 08:45:50;Aus Standbymodus aufgeweckt;;
2018-11-17 08:47:10;In Standbymodus versetzt;Application API;
2018-11-17 09:00:54;Aus Standbymodus aufgeweckt;;
2018-11-17 09:21:30;In Standbymodus versetzt;System idle;
2018-11-17 09:46:36;Aus Standbymodus aufgeweckt;;
2018-11-17 10:15:33;In Standbymodus versetzt;System idle;
2018-11-17 10:57:06;Aus Standbymodus aufgeweckt;;
2018-11-17 11:12:28;In Standbymodus versetzt;Application API;
2018-11-17 12:34:12;Aus Standbymodus aufgeweckt;;
2018-11-17 12:47:56;In Standbymodus versetzt;Application API;
2018-11-17 15:05:14;Aus Standbymodus aufgeweckt;;
2018-11-17 15:32:03;In Standbymodus versetzt;System idle;
2018-11-17 16:02:02;Aus Standbymodus aufgeweckt;;
2018-11-17 16:27:52;In Standbymodus versetzt;Application API;
2018-11-17 21:32:51;Aus Standbymodus aufgeweckt;;
2018-11-17 21:33:14;In Standbymodus versetzt;Application API;
2018-11-18 06:19:23;Aus Standbymodus aufgeweckt;;
2018-11-18 07:08:52;In Standbymodus versetzt;Application API;
2018-11-18 09:04:06;Aus Standbymodus aufgeweckt;;
2018-11-18 09:23:54;In Standbymodus versetzt;Application API;
2018-11-18 11:39:07;Aus Standbymodus aufgeweckt;;
2018-11-18 11:41:04;In Standbymodus versetzt;Application API;
2018-11-18 17:39:35;Aus Standbymodus aufgeweckt;;
2018-11-18 17:48:37;Heruntergefahren;;
2018-11-18 17:48:53;Start;;
2018-11-18 17:50:22;In Standbymodus versetzt;Application API;
2018-11-18 20:19:16;Aus Standbymodus aufgeweckt;;
2018-11-18 20:19:50;In Standbymodus versetzt;Application API;
2018-11-19 06:22:29;Aus Standbymodus aufgeweckt;;
2018-11-19 07:10:19;In Standbymodus versetzt;Application API;
2018-11-19 09:34:10;Aus Standbymodus aufgeweckt;;
2018-11-19 09:38:57;In Standbymodus versetzt;Application API;
2018-11-19 09:41:47;Aus Standbymodus aufgeweckt;;
2018-11-19 09:53:51;In Standbymodus versetzt;Application API;
2018-11-19 10:14:29;Aus Standbymodus aufgeweckt;;
2018-11-19 10:30:05;In Standbymodus versetzt;Application API;
2018-11-19 15:05:42;Aus Standbymodus aufgeweckt;;
2018-11-19 15:26:23;In Standbymodus versetzt;Application API;
2018-11-19 16:32:12;Aus Standbymodus aufgeweckt;;
2018-11-19 16:54:24;In Standbymodus versetzt;Application API;
2018-11-19 18:26:07;Aus Standbymodus aufgeweckt;;
2018-11-19 18:27:08;In Standbymodus versetzt;Application API;
2018-11-19 21:02:12;Aus Standbymodus aufgeweckt;;
2018-11-19 21:02:45;In Standbymodus versetzt;Application API;
2018-11-19 21:29:49;Aus Standbymodus aufgeweckt;;
2018-11-19 21:32:32;In Standbymodus versetzt;Application API;
2018-11-20 06:23:17;Aus Standbymodus aufgeweckt;;
2018-11-20 07:04:20;In Standbymodus versetzt;Application API;
2018-11-20 11:10:40;Aus Standbymodus aufgeweckt;;
2018-11-20 11:13:04;In Standbymodus versetzt;System idle;
2018-11-20 11:14:55;Aus Standbymodus aufgeweckt;;
2018-11-20 11:54:23;In Standbymodus versetzt;Application API;
2018-11-20 12:33:16;Aus Standbymodus aufgeweckt;;
2018-11-20 13:06:42;In Standbymodus versetzt;Application API;
2018-11-20 15:01:18;Aus Standbymodus aufgeweckt;;
2018-11-20 15:39:22;In Standbymodus versetzt;System idle;
2018-11-20 15:53:00;Aus Standbymodus aufgeweckt;;
2018-11-20 16:01:51;In Standbymodus versetzt;Application API;
2018-11-20 17:13:00;Aus Standbymodus aufgeweckt;;
2018-11-20 17:25:24;In Standbymodus versetzt;Application API;
2018-11-20 18:07:13;Aus Standbymodus aufgeweckt;;
2018-11-20 18:22:37;In Standbymodus versetzt;Application API;
2018-11-20 21:36:30;Aus Standbymodus aufgeweckt;;
2018-11-20 21:36:53;In Standbymodus versetzt;Application API;
2018-11-21 06:21:20;Aus Standbymodus aufgeweckt;;
2018-11-21 07:10:01;In Standbymodus versetzt;Application API;
2018-11-21 09:29:58;Aus Standbymodus aufgeweckt;;
2018-11-21 09:32:04;In Standbymodus versetzt;System idle;
2018-11-21 09:32:26;Aus Standbymodus aufgeweckt;;
2018-11-21 09:32:44;In Standbymodus versetzt;Application API;
2018-11-21 09:51:31;Aus Standbymodus aufgeweckt;;
2018-11-21 10:24:26;In Standbymodus versetzt;Application API;
2018-11-21 10:52:51;Aus Standbymodus aufgeweckt;;
2018-11-21 10:58:57;In Standbymodus versetzt;Application API;
2018-11-21 11:00:52;Aus Standbymodus aufgeweckt;;
2018-11-21 11:03:33;In Standbymodus versetzt;Application API;
2018-11-21 12:24:38;Aus Standbymodus aufgeweckt;;
2018-11-21 13:04:23;In Standbymodus versetzt;Application API;
2018-11-21 15:03:26;Aus Standbymodus aufgeweckt;;
2018-11-21 15:33:03;In Standbymodus versetzt;System idle;
2018-11-21 15:54:21;Aus Standbymodus aufgeweckt;;
2018-11-21 16:10:06;In Standbymodus versetzt;Application API;
2018-11-21 16:20:32;Aus Standbymodus aufgeweckt;;
2018-11-21 16:51:37;In Standbymodus versetzt;Application API;
2018-11-21 17:08:40;Aus Standbymodus aufgeweckt;;
2018-11-21 17:11:38;In Standbymodus versetzt;Application API;
2018-11-21 17:51:55;Aus Standbymodus aufgeweckt;;
2018-11-21 17:59:48;In Standbymodus versetzt;Application API;
2018-11-21 17:59:58;Aus Standbymodus aufgeweckt;;
2018-11-21 18:00:06;In Standbymodus versetzt;Application API;
2018-11-21 19:23:49;Aus Standbymodus aufgeweckt;;
2018-11-21 19:24:22;In Standbymodus versetzt;Application API;
2018-11-21 21:36:39;Aus Standbymodus aufgeweckt;;
2018-11-21 21:37:02;In Standbymodus versetzt;Application API;
2018-11-22 06:21:24;Aus Standbymodus aufgeweckt;;
2018-11-22 07:05:38;In Standbymodus versetzt;Application API;
2018-11-22 09:04:42;Aus Standbymodus aufgeweckt;;
2018-11-22 09:05:49;In Standbymodus versetzt;Application API;
2018-11-22 09:34:24;Aus Standbymodus aufgeweckt;;
2018-11-22 09:41:42;In Standbymodus versetzt;Application API;
2018-11-22 09:55:02;Aus Standbymodus aufgeweckt;;
2018-11-22 10:16:13;In Standbymodus versetzt;Application API;
2018-11-22 10:48:52;Aus Standbymodus aufgeweckt;;
2018-11-22 11:04:30;In Standbymodus versetzt;Application API;
2018-11-22 11:47:45;Aus Standbymodus aufgeweckt;;
2018-11-22 11:48:33;In Standbymodus versetzt;Application API;
2018-11-22 14:56:19;Aus Standbymodus aufgeweckt;;
2018-11-22 15:20:56;In Standbymodus versetzt;System idle;
2018-11-22 15:30:04;Aus Standbymodus aufgeweckt;;
2018-11-22 15:46:29;In Standbymodus versetzt;System idle;
2018-11-22 15:46:40;Aus Standbymodus aufgeweckt;;
2018-11-22 16:01:35;In Standbymodus versetzt;Application API;
2018-11-22 16:37:34;Aus Standbymodus aufgeweckt;;
2018-11-22 16:38:00;In Standbymodus versetzt;Application API;
2018-11-22 16:45:41;Aus Standbymodus aufgeweckt;;
2018-11-22 16:47:14;In Standbymodus versetzt;Application API;
2018-11-22 21:28:51;Aus Standbymodus aufgeweckt;;
2018-11-22 21:29:26;In Standbymodus versetzt;Application API;
2018-11-23 06:09:16;Aus Standbymodus aufgeweckt;;
2018-11-23 07:10:51;In Standbymodus versetzt;Application API;
2018-11-23 08:55:05;Aus Standbymodus aufgeweckt;;
2018-11-23 09:23:47;In Standbymodus versetzt;System idle;
2018-11-23 10:26:48;Aus Standbymodus aufgeweckt;;
2018-11-23 10:27:59;In Standbymodus versetzt;Application API;
2018-11-23 10:50:07;Aus Standbymodus aufgeweckt;;
2018-11-23 11:15:54;In Standbymodus versetzt;System idle;
2018-11-23 11:16:15;Aus Standbymodus aufgeweckt;;
2018-11-23 11:21:49;In Standbymodus versetzt;Application API;
2018-11-23 16:00:59;Aus Standbymodus aufgeweckt;;
2018-11-23 16:50:43;In Standbymodus versetzt;Application API;
2018-11-23 17:08:55;Aus Standbymodus aufgeweckt;;
2018-11-23 17:25:33;In Standbymodus versetzt;Application API;
2018-11-23 17:59:54;Aus Standbymodus aufgeweckt;;
2018-11-23 18:01:44;In Standbymodus versetzt;Application API;
2018-11-23 21:42:47;Aus Standbymodus aufgeweckt;;
2018-11-23 21:43:03;In Standbymodus versetzt;Application API;
2018-11-24 06:17:13;Aus Standbymodus aufgeweckt;;
2018-11-24 07:11:41;In Standbymodus versetzt;Application API;
2018-11-24 10:07:22;Aus Standbymodus aufgeweckt;;
2018-11-24 10:11:07;In Standbymodus versetzt;Application API;
2018-11-24 11:57:00;Aus Standbymodus aufgeweckt;;
2018-11-24 11:58:37;In Standbymodus versetzt;Application API;
2018-11-24 18:00:17;Aus Standbymodus aufgeweckt;;
2018-11-24 18:00:32;In Standbymodus versetzt;Application API;
2018-11-24 19:24:47;Aus Standbymodus aufgeweckt;;
2018-11-24 19:24:57;In Standbymodus versetzt;Application API;
2018-11-25 06:19:00;Aus Standbymodus aufgeweckt;;
2018-11-25 07:11:12;In Standbymodus versetzt;Application API;
2018-11-25 09:10:40;Aus Standbymodus aufgeweckt;;
2018-11-25 09:22:45;In Standbymodus versetzt;Application API;
2018-11-25 09:23:17;Aus Standbymodus aufgeweckt;;
2018-11-25 09:24:20;In Standbymodus versetzt;Application API;
2018-11-25 09:45:39;Aus Standbymodus aufgeweckt;;
2018-11-25 09:56:39;In Standbymodus versetzt;Application API;
2018-11-25 10:21:56;Aus Standbymodus aufgeweckt;;
2018-11-25 10:48:08;In Standbymodus versetzt;Application API;
2018-11-25 12:09:24;Aus Standbymodus aufgeweckt;;
2018-11-25 12:30:20;In Standbymodus versetzt;Application API;
2018-11-25 15:18:49;Aus Standbymodus aufgeweckt;;
2018-11-25 15:27:30;In Standbymodus versetzt;Application API;
2018-11-25 16:49:35;Aus Standbymodus aufgeweckt;;
2018-11-25 16:59:17;Heruntergefahren;;
2018-11-25 16:59:30;Start;;
2018-11-25 17:03:07;In Standbymodus versetzt;Application API;
2018-11-25 19:10:05;Aus Standbymodus aufgeweckt;;
2018-11-25 19:19:50;In Standbymodus versetzt;Application API;
2018-11-26 06:08:53;Aus Standbymodus aufgeweckt;;
2018-11-26 06:31:37;Heruntergefahren;;
2018-11-26 06:31:51;Start;;
2018-11-26 06:59:13;In Standbymodus versetzt;Application API;
2018-11-26 12:30:07;Aus Standbymodus aufgeweckt;;
2018-11-26 12:30:42;In Standbymodus versetzt;Application API;
2018-11-26 16:51:12;Aus Standbymodus aufgeweckt;;
2018-11-26 17:00:37;In Standbymodus versetzt;Application API;
2018-11-26 17:05:07;Aus Standbymodus aufgeweckt;;
2018-11-26 18:02:22;In Standbymodus versetzt;Application API;
2018-11-26 18:06:06;Aus Standbymodus aufgeweckt;;
2018-11-26 18:10:24;In Standbymodus versetzt;Application API;
2018-11-26 18:28:45;Aus Standbymodus aufgeweckt;;
2018-11-26 19:11:31;In Standbymodus versetzt;Application API;
2018-11-26 19:16:16;Aus Standbymodus aufgeweckt;;
2018-11-26 19:22:44;In Standbymodus versetzt;Application API;
2018-11-26 21:45:39;Aus Standbymodus aufgeweckt;;
2018-11-26 21:46:09;In Standbymodus versetzt;Application API;
2018-11-27 06:15:26;Aus Standbymodus aufgeweckt;;
2018-11-27 06:59:35;In Standbymodus versetzt;Application API;
2018-11-27 09:07:21;Aus Standbymodus aufgeweckt;;
2018-11-27 09:37:54;In Standbymodus versetzt;Application API;
2018-11-27 10:49:51;Aus Standbymodus aufgeweckt;;
2018-11-27 10:51:42;In Standbymodus versetzt;Application API;
2018-11-27 11:02:11;Aus Standbymodus aufgeweckt;;
2018-11-27 11:19:54;In Standbymodus versetzt;Application API;
2018-11-27 11:27:44;Aus Standbymodus aufgeweckt;;
2018-11-27 11:50:33;In Standbymodus versetzt;Application API;
2018-11-27 11:52:46;Aus Standbymodus aufgeweckt;;
2018-11-27 11:55:04;In Standbymodus versetzt;Application API;
2018-11-27 12:02:55;Aus Standbymodus aufgeweckt;;
2018-11-27 12:13:22;In Standbymodus versetzt;Application API;
2018-11-27 13:51:40;Aus Standbymodus aufgeweckt;;
2018-11-27 13:53:11;In Standbymodus versetzt;Application API;
2018-11-27 15:48:29;Aus Standbymodus aufgeweckt;;
2018-11-27 16:16:05;In Standbymodus versetzt;Application API;
2018-11-27 17:30:57;Aus Standbymodus aufgeweckt;;
2018-11-27 17:35:22;In Standbymodus versetzt;Application API;
2018-11-27 19:06:03;Aus Standbymodus aufgeweckt;;
2018-11-27 19:35:55;In Standbymodus versetzt;Application API;
2018-11-27 21:41:04;Aus Standbymodus aufgeweckt;;
2018-11-27 21:41:22;In Standbymodus versetzt;Application API;
2018-11-28 06:26:01;Aus Standbymodus aufgeweckt;;
2018-11-28 07:08:45;In Standbymodus versetzt;Application API;
2018-11-28 17:25:17;Aus Standbymodus aufgeweckt;;
2018-11-28 17:36:55;In Standbymodus versetzt;Application API;
2018-11-28 18:16:20;Aus Standbymodus aufgeweckt;;
2018-11-28 18:24:02;In Standbymodus versetzt;Application API;
2018-11-28 19:24:54;Aus Standbymodus aufgeweckt;;
2018-11-28 19:25:50;In Standbymodus versetzt;Application API;
2018-11-28 21:57:07;Aus Standbymodus aufgeweckt;;
2018-11-28 21:58:02;In Standbymodus versetzt;Application API;
2018-11-29 06:14:49;Aus Standbymodus aufgeweckt;;
2018-11-29 07:09:23;In Standbymodus versetzt;Application API;
2018-11-29 09:08:25;Aus Standbymodus aufgeweckt;;
2018-11-29 09:20:54;In Standbymodus versetzt;System idle;
2018-11-29 09:58:23;Aus Standbymodus aufgeweckt;;
2018-11-29 09:58:51;In Standbymodus versetzt;Application API;
2018-11-29 10:14:32;Aus Standbymodus aufgeweckt;;
2018-11-29 10:16:30;In Standbymodus versetzt;System idle;
2018-11-29 10:53:17;Aus Standbymodus aufgeweckt;;
2018-11-29 11:49:17;In Standbymodus versetzt;System idle;
2018-11-29 12:12:26;Aus Standbymodus aufgeweckt;;
2018-11-29 12:15:05;In Standbymodus versetzt;Application API;
2018-11-29 12:16:20;Aus Standbymodus aufgeweckt;;
2018-11-29 12:20:25;In Standbymodus versetzt;Application API;
2018-11-29 12:58:00;Aus Standbymodus aufgeweckt;;
2018-11-29 12:58:31;In Standbymodus versetzt;Application API;
2018-11-29 16:21:37;Aus Standbymodus aufgeweckt;;
2018-11-29 16:42:56;In Standbymodus versetzt;Application API;
2018-11-29 19:16:56;Aus Standbymodus aufgeweckt;;
2018-11-29 19:30:43;In Standbymodus versetzt;Application API;
2018-11-29 19:30:50;Aus Standbymodus aufgeweckt;;
2018-11-29 19:31:05;Heruntergefahren;;
2018-11-29 19:31:18;Start;;
2018-11-29 19:31:54;In Standbymodus versetzt;Application API;
2018-11-29 21:21:01;Aus Standbymodus aufgeweckt;;
2018-11-29 21:21:32;In Standbymodus versetzt;Application API;
2018-11-30 06:15:37;Aus Standbymodus aufgeweckt;;
2018-11-30 07:07:41;In Standbymodus versetzt;Application API;
2018-11-30 08:47:38;Aus Standbymodus aufgeweckt;;
2018-11-30 09:06:11;In Standbymodus versetzt;Application API;
2018-11-30 09:08:25;Aus Standbymodus aufgeweckt;;
2018-11-30 09:55:26;In Standbymodus versetzt;Application API;
2018-11-30 09:55:53;Aus Standbymodus aufgeweckt;;
2018-11-30 10:07:35;In Standbymodus versetzt;Application API;
2018-11-30 10:17:22;Aus Standbymodus aufgeweckt;;
2018-11-30 10:24:06;In Standbymodus versetzt;Application API;
2018-11-30 16:14:40;Aus Standbymodus aufgeweckt;;
2018-11-30 16:46:53;In Standbymodus versetzt;Application API;
2018-11-30 17:37:34;Aus Standbymodus aufgeweckt;;
2018-11-30 17:40:48;In Standbymodus versetzt;Application API;
2018-11-30 18:16:05;Aus Standbymodus aufgeweckt;;
2018-11-30 18:20:45;In Standbymodus versetzt;Application API;
2018-11-30 19:16:45;Aus Standbymodus aufgeweckt;;
2018-11-30 19:26:51;In Standbymodus versetzt;Application API;
2018-11-30 21:38:34;Aus Standbymodus aufgeweckt;;
2018-11-30 21:39:27;In Standbymodus versetzt;Application API;
2018-12-01 06:18:57;Aus Standbymodus aufgeweckt;;
2018-12-01 07:10:42;In Standbymodus versetzt;Application API;
2018-12-01 09:16:42;Aus Standbymodus aufgeweckt;;
2018-12-01 09:48:04;In Standbymodus versetzt;System idle;
2018-12-01 09:58:03;Aus Standbymodus aufgeweckt;;
2018-12-01 09:58:12;In Standbymodus versetzt;Application API;
2018-12-01 11:18:01;Aus Standbymodus aufgeweckt;;
2018-12-01 11:22:14;In Standbymodus versetzt;Application API;
