Zeit; Event; Ursache; Info
2018-10-07 12:58:17;In Standbymodus versetzt;Application API;
2018-10-07 16:28:27;Aus Standbymodus aufgeweckt;;
2018-10-07 17:05:27;In Standbymodus versetzt;Application API;
2018-10-07 17:44:00;Aus Standbymodus aufgeweckt;;
2018-10-07 17:50:00;Heruntergefahren;;
2018-10-07 17:50:13;Start;;
2018-10-07 18:09:01;Heruntergefahren;;
2018-10-07 18:09:14;Start;;
2018-10-07 18:10:08;In Standbymodus versetzt;Application API;
2018-10-07 19:28:55;Aus Standbymodus aufgeweckt;;
2018-10-07 19:34:37;In Standbymodus versetzt;Application API;
2018-10-07 20:16:38;Aus Standbymodus aufgeweckt;;
2018-10-07 20:17:13;In Standbymodus versetzt;Application API;
2018-10-08 06:24:03;Aus Standbymodus aufgeweckt;;
2018-10-08 06:52:26;In Standbymodus versetzt;Application API;
2018-10-08 07:01:03;Aus Standbymodus aufgeweckt;;
2018-10-08 07:10:19;In Standbymodus versetzt;Application API;
2018-10-08 08:42:02;Aus Standbymodus aufgeweckt;;
2018-10-08 08:47:21;In Standbymodus versetzt;Application API;
2018-10-08 08:52:18;Aus Standbymodus aufgeweckt;;
2018-10-08 08:55:12;In Standbymodus versetzt;Application API;
2018-10-08 09:18:46;Aus Standbymodus aufgeweckt;;
2018-10-08 09:40:41;In Standbymodus versetzt;System idle;
2018-10-08 10:37:52;Aus Standbymodus aufgeweckt;;
2018-10-08 10:39:30;In Standbymodus versetzt;Application API;
2018-10-08 11:54:39;Aus Standbymodus aufgeweckt;;
2018-10-08 11:57:33;In Standbymodus versetzt;Application API;
2018-10-08 12:05:58;Aus Standbymodus aufgeweckt;;
2018-10-08 12:11:25;In Standbymodus versetzt;Application API;
2018-10-08 14:57:42;Aus Standbymodus aufgeweckt;;
2018-10-08 15:34:07;In Standbymodus versetzt;System idle;
2018-10-08 15:55:02;Aus Standbymodus aufgeweckt;;
2018-10-08 16:12:03;In Standbymodus versetzt;Application API;
2018-10-08 16:30:32;Aus Standbymodus aufgeweckt;;
2018-10-08 16:32:55;In Standbymodus versetzt;System idle;
2018-10-08 16:38:22;Aus Standbymodus aufgeweckt;;
2018-10-08 16:40:51;In Standbymodus versetzt;System idle;
2018-10-08 16:41:40;Aus Standbymodus aufgeweckt;;
2018-10-08 17:13:52;In Standbymodus versetzt;Application API;
2018-10-08 18:51:14;Aus Standbymodus aufgeweckt;;
2018-10-08 19:22:34;In Standbymodus versetzt;Application API;
2018-10-08 21:55:11;Aus Standbymodus aufgeweckt;;
2018-10-08 21:56:39;In Standbymodus versetzt;Application API;
2018-10-09 06:40:12;Aus Standbymodus aufgeweckt;;
2018-10-09 07:08:35;In Standbymodus versetzt;Application API;
2018-10-09 09:27:10;Aus Standbymodus aufgeweckt;;
2018-10-09 09:29:05;In Standbymodus versetzt;System idle;
2018-10-09 11:08:42;Aus Standbymodus aufgeweckt;;
2018-10-09 11:28:36;In Standbymodus versetzt;Application API;
2018-10-09 11:56:06;Aus Standbymodus aufgeweckt;;
2018-10-09 11:57:20;In Standbymodus versetzt;Application API;
2018-10-09 12:32:11;Aus Standbymodus aufgeweckt;;
2018-10-09 12:40:36;In Standbymodus versetzt;Application API;
2018-10-09 15:05:20;Aus Standbymodus aufgeweckt;;
2018-10-09 15:46:49;In Standbymodus versetzt;Application API;
2018-10-09 16:18:33;Aus Standbymodus aufgeweckt;;
2018-10-09 16:24:55;In Standbymodus versetzt;Application API;
2018-10-09 18:24:26;Aus Standbymodus aufgeweckt;;
2018-10-09 18:28:44;In Standbymodus versetzt;Application API;
2018-10-09 19:10:24;Aus Standbymodus aufgeweckt;;
2018-10-09 19:11:48;In Standbymodus versetzt;Application API;
2018-10-09 21:19:23;Aus Standbymodus aufgeweckt;;
2018-10-09 21:20:09;In Standbymodus versetzt;Application API;
2018-10-10 06:37:06;Aus Standbymodus aufgeweckt;;
2018-10-10 07:05:34;In Standbymodus versetzt;Application API;
2018-10-10 08:29:19;Aus Standbymodus aufgeweckt;;
2018-10-10 08:55:13;In Standbymodus versetzt;System idle;
2018-10-10 09:04:10;Aus Standbymodus aufgeweckt;;
2018-10-10 09:45:39;Heruntergefahren;;
2018-10-10 09:46:03;Start;;
2018-10-10 09:47:10;Heruntergefahren;;
2018-10-10 09:47:25;Start;;
2018-10-10 09:49:22;Heruntergefahren;;
2018-10-10 09:49:36;Start;;
2018-10-10 09:50:33;In Standbymodus versetzt;Application API;
2018-10-10 09:56:15;Aus Standbymodus aufgeweckt;;
2018-10-10 10:10:42;In Standbymodus versetzt;Application API;
2018-10-10 11:13:41;Aus Standbymodus aufgeweckt;;
2018-10-10 11:25:51;In Standbymodus versetzt;Application API;
2018-10-10 12:03:00;Aus Standbymodus aufgeweckt;;
2018-10-10 12:04:27;In Standbymodus versetzt;Application API;
2018-10-10 12:17:59;Aus Standbymodus aufgeweckt;;
2018-10-10 12:18:56;In Standbymodus versetzt;Application API;
2018-10-10 14:22:31;Aus Standbymodus aufgeweckt;;
2018-10-10 14:22:40;In Standbymodus versetzt;Application API;
2018-10-10 14:57:16;Aus Standbymodus aufgeweckt;;
2018-10-10 15:21:06;In Standbymodus versetzt;System idle;
2018-10-10 15:40:31;Aus Standbymodus aufgeweckt;;
2018-10-10 15:56:21;In Standbymodus versetzt;Application API;
2018-10-10 17:23:16;Aus Standbymodus aufgeweckt;;
2018-10-10 17:24:13;In Standbymodus versetzt;Application API;
2018-10-10 21:44:31;Aus Standbymodus aufgeweckt;;
2018-10-10 21:46:26;In Standbymodus versetzt;Application API;
2018-10-11 06:21:19;Aus Standbymodus aufgeweckt;;
2018-10-11 07:08:42;In Standbymodus versetzt;Application API;
2018-10-11 11:03:31;Aus Standbymodus aufgeweckt;;
2018-10-11 11:16:21;In Standbymodus versetzt;Application API;
2018-10-11 12:26:35;Aus Standbymodus aufgeweckt;;
2018-10-11 12:58:39;In Standbymodus versetzt;Application API;
2018-10-11 13:13:47;Aus Standbymodus aufgeweckt;;
2018-10-11 13:19:20;In Standbymodus versetzt;Application API;
2018-10-11 14:59:57;Aus Standbymodus aufgeweckt;;
2018-10-11 15:58:39;In Standbymodus versetzt;System idle;
2018-10-11 15:58:47;Aus Standbymodus aufgeweckt;;
2018-10-11 16:19:45;In Standbymodus versetzt;System idle;
2018-10-11 16:34:38;Aus Standbymodus aufgeweckt;;
2018-10-11 17:04:42;In Standbymodus versetzt;Application API;
2018-10-11 17:23:31;Aus Standbymodus aufgeweckt;;
2018-10-11 17:29:28;In Standbymodus versetzt;Application API;
2018-10-11 17:30:53;Aus Standbymodus aufgeweckt;;
2018-10-11 17:44:49;In Standbymodus versetzt;Application API;
2018-10-11 18:24:39;Aus Standbymodus aufgeweckt;;
2018-10-11 18:46:13;In Standbymodus versetzt;Application API;
2018-10-11 19:16:40;Aus Standbymodus aufgeweckt;;
2018-10-11 19:25:39;In Standbymodus versetzt;Application API;
2018-10-11 20:25:55;Aus Standbymodus aufgeweckt;;
2018-10-11 20:26:10;In Standbymodus versetzt;Application API;
2018-10-12 06:18:10;Aus Standbymodus aufgeweckt;;
2018-10-12 07:06:44;In Standbymodus versetzt;Application API;
2018-10-12 09:17:02;Aus Standbymodus aufgeweckt;;
2018-10-12 10:22:55;In Standbymodus versetzt;Application API;
2018-10-12 10:55:39;Aus Standbymodus aufgeweckt;;
2018-10-12 10:56:12;In Standbymodus versetzt;Application API;
2018-10-12 11:12:07;Aus Standbymodus aufgeweckt;;
2018-10-12 11:43:09;In Standbymodus versetzt;Application API;
